College ID,College Name,Branch ID,Branch Name,Status,Is State Level,Seat Type,Category,Cutoff Merit No,Score / Percentile,Year,Stage,Category_Group,Seat_Level
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University to Other,GSCO,46499.0,74.2012741,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,0,Home University to Other,GOBCO,57201.0,67.2875491,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,1,State Level,TFWS,34335.0,81.4109415,2022,II,TFWS,State
1005,"Sant Gadge Baba Amravati University,Amravati",100550310,Food Technology,University Department,1,State Level,EWS,107964.0,21.8821184,2022,II,EWS,State
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,University Department,0,Home University,LOPENH,77244.0,52.2301039,2022,II,OTHER,Home_University
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,University Department,0,Home University,LOBCH,84752.0,45.9187639,2022,II,OTHER,Home_University
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,University Department,0,Home University to Other,GOPENH,113264.0,14.9316558,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,University Department,0,Home University to Other,GOPENO,108178.0,21.5067519,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,University Department,1,State Level,TFWS,48609.0,72.7702415,2022,II,TFWS,State
1005,"Sant Gadge Baba Amravati University,Amravati",100551710,Oil and Paints Technology,University Department,1,State Level,EWS,96766.0,34.1210946,2022,II,EWS,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University,GOPENH,110078.0,19.1072714,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University,LOPENH,89462.0,41.9139826,2022,II,OTHER,Home_University
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University to Other,GOPENH,67801.0,59.6829046,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University to Other,GSCH,76951.0,52.4476185,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University to Other,GOBCH,103538.0,26.7890081,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University to Other,GOPENO,47762.0,73.2440997,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University to Other,GSCO,110780.0,17.8380677,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,0,Home University to Other,GOBCO,77606.0,51.9313711,2022,II,OTHER,State
1005,"Sant Gadge Baba Amravati University,Amravati",100552710,Petro Chemical Engineering,University Department,1,State Level,EWS,115429.0,12.099832,2022,II,EWS,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GOPENH,72032.0,56.7650587,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GSCH,107302.0,22.4871071,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GSTH,114482.0,12.9353233,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GVJH,85649.0,44.986801,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GNT1H,82211.0,48.2193247,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GNT2H,83614.0,46.4456321,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,GOBCH,85512.0,44.986801,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,LOPENH,68900.0,59.0639291,2022,II,OTHER,Home_University
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,LSCH,75744.0,53.8866742,2022,II,OTHER,Home_University
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University,LOBCH,80795.0,49.0525702,2022,II,OTHER,Home_University
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GSTH,103344.0,26.9007793,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GNT3H,79917.0,50.5614783,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GOPENO,71840.0,56.7650587,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GSCO,79705.0,50.5614783,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GSTO,102216.0,28.4814025,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GVJO,75155.0,54.124615,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GNT1O,91336.0,39.4227966,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GNT2O,101205.0,29.3331437,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,GOBCO,74172.0,54.5241174,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,LOPENO,85052.0,45.6704109,2022,II,OTHER,Home_University
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,LSCO,109364.0,19.8474395,2022,II,OTHER,Home_University
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,0,Home University to Other,LOBCO,87000.0,43.3167495,2022,II,OTHER,Home_University
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,1,State Level,TFWS,56874.0,67.447284,2022,II,TFWS,State
1012,"Government College of Engineering,Yavatmal",101219110,Civil Engineering,Government,1,State Level,EWS,97934.0,32.5908894,2022,II,EWS,State
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,Government,0,Home University,GOPENH,24879.0,86.5576404,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,Government,0,Home University,GSCH,32136.0,82.59776,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,Government,0,Home University,GSTH,79961.0,50.5614783,2022,II,OTHER,State
1012,"Government College of Engineering,Yavatmal",101224510,Computer Engineering,Government,0,Home University,GVJH,25236.0,86.402198,2022,II,OTHER,State
